	sentiment	content
194	surprise	when da heck will the garage man get here i ask you  when 
195	worry	ate mandy please forgive me  i really am sorry  i dont wanna lose my bff
197	worry	why are plane tickets so expensive
201	worry	went to di bella coffee roasters today and asked for a job    the person i needed to speak to is on holiday   fb
202	sadness	 i played up until the latter parts of the voodoo village part coop until i lost my usual partner
203	sadness	 nite  now im up n bored as opposed to almost sleep frm b 4
206	anger	 im doing that shit right now   im on vacation and you got me workin
207	neutral	 ill be over in an oir
211	sadness	 no internet last night er was brill there was a massive explosion at the end of a nearby gas works er on standby
212	anger	 cuz airlines are super lame 
213	sadness	  still a pity it comes with no lamb though
214	sadness	  im sorry to hear that  here is my optimist things will get better  for all of us 
216	anger	im so very tired and have insomnia 
217	neutral	 a hungry fool  ill probably never see that krispy kreme again  had to enjoy it  they closing down
218	neutral	 airport and you didnt show up tonight homo
219	anger	i hate bakersfield and i hate the ports let me go home already   i want to start my vacation 
222	worry	people in my house do not know how to close doors
223	surprise	why am i completing facebook quizzes at this time of the morning  especially a friday morning
224	neutral	out with  amp  i am soooo hungry
225	worry	 i dont like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
226	sadness	had to cancel wow for now
227	worry	wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio
232	neutral	 poll  was trying to get it to work in a powerpoint to no avail 
234	fun	omg the concert was awesome madrigals gave me chills on almost every piece brooks also called up alumni but i didnt get to go
235	neutral	 yeah its terrible  cockatoos are the hardest to live with so emotional  good thing he found you though
236	sadness	up late with nothin 2 do 
237	worry	i think the vog is making me sicker than i think  feeling slightly achy
238	sadness	 i was watching harpers island lol  there was no vodka involved
242	sadness	sometimes i wish things could go back to the way they were the beginning of last summer
245	sadness	 i feel the same way but i guess no matter where you are there will always be memes 
246	fun	i cant do 30 minutes of treadmill  but done 30 minutes for today already gonna do 20 minutes more
249	worry	work day 7 of 7
253	neutral	 no im not  cries lol
255	surprise	 epicentre wheelock place 250 units amp for tourists only  starting today
256	anger	i hate the new mt dew commercial the one with a giant mosquito it scares me and grosses me out all at the same time 
257	neutral	come on knight  its been well over 4 hours
258	worry	not super keen on the drive home through the rain  additional concentration required that i dont really wanna deal with
259	surprise	 aw u cant let me in on the secret
260	surprise	 im sorry  i dont think i stick out at least compared to what i used to look like 
261	worry	no transport for church  wont be making it im crushed  oh well more time for assignments i suppose  my throat really hurts  
263	anger	lies lies lies you just cant avoid to lie about practically everything
265	neutral	driving back home because i forgot the piece of cake for 
267	sadness	everytime i send an email to my coach i feel a need to practice    shitty balls   lol
268	sadness	its pissing me off and not letting me follow ericka
269	sadness	is going to sleep not peaceful  wanted to hear him say good night but that didnt happen  good night everyone 
271	neutral	 i was so close to the tacos one spot too late
273	surprise	is thinking so much and im at work
274	worry	i have forgot the live with the jonas brothers on facebook
275	sadness	i havent seen muffin in two whole days
276	sadness	 ill miss yall back  give  my regards 
277	surprise	my gap year is going so quick
278	worry	i have to admit im a bit bummed out that i wasnt with my friends walking today 
280	worry	my twitter has been hacked again
281	sadness	just found mj mouse flats at djs  of course there are none left in my size
282	neutral	 i wont have time to buy  and i need a new binder pa
286	fun	 thats awesome we have that this weekend too but i cant go because im moving this sat   i should be a lot of fun though
288	neutral	 this is happening to me too
294	worry	okay so twitter suddenly changed how do i respond to messages now
296	worry	decided that no matter how good my hair looks curly it doesnt justify the burn i get from the curler my hands covered  i suck at it
298	neutral	  yea     i gotta be up at 730
299	anger	i hate when my bf beats da dogs  but i guess that the only way to teach these pitts 
300	worry	sprained my ankle  like really badly and tore some stuffs  it hurts and its my birthday weekend
302	anger	think i may have broke a toe at the bar tonight thanks drunk girl for steppin all over me
303	neutral	not one sale done today at work  explored balconies in the big theater w coworkers  a fun day but void of chili fries and tips
304	sadness	  i wish i had left 4 dead  but first id need something to play it on 
306	neutral	 that story reminds of living in portugal
307	neutral	  youre diabetic   so is my dad   amp i might be too not sure   are you still allowed to eat sugar throughout the day
308	fun	i spilled my beer all over my leg  wasted half my beer   home now  i met a cute girl  good conversation 
309	anger	my roommate  loves to ignore me
310	neutral	  ill make him nachos tomorrow  better than if he would have made them himself 
313	sadness	my teeth and head hurts
315	anger	 maths and science were the strongest for me i think dunno bout geography only did like 1 day of study for 12 a year of work
320	worry	hanging out with sam billy and veronica  not going to school tomorrow to take sam to body shops  dang car accidents
321	sadness	no more arrested development  i am sad 
322	neutral	  wicked  what time you leaving how come you cant stay the night
323	sadness	omg i keep losing followers this is so sad  i want 90 one day thats my goal d
324	sadness	i feel so deflated  no more doggy 
325	worry	 i wanna see her hair  hows everyone
326	sadness	i just had to empty my trash on the mac  that was one of the most difficult things i have ever done in my life  8000 pictures are gone 
329	worry	aww   pray for the arroyo family everyone
332	sadness	alo is so sad and quiet and empty tonight
334	worry	 you never answered your dm i sent you    i need your info 
335	worry	am trying to get through the pilot of the first season of friday night lights  oh gosh  pass the tissue 
336	sadness	 aw where are you headed to i just cancelled my trip to aussie
338	worry	 i didnt think anyone caught that
339	sadness	i need to be sleeping  but im not even tired 
341	neutral	oh nevermind i think this thing is unsalvageable
343	sadness	sad that christian lacroix had to file bankruptcy
345	sadness	why did i agree to work a double shift
346	worry	looks like ill never go to the zoo
347	worry	 ohh poor girl  ill email her  i am relying on you being here in october mr
348	neutral	when will medhurst play again
351	sadness	have to go to the dreaded dmv tomorrow
354	worry	 thank you for the rec but that doesnt work
357	worry	i dont know how ima work out tomorrow wit my body dis sore  ugh
359	neutral	 yeah plus its just a little too far to walk to pinocchios for sushi
360	worry	im feeling this pressure in my head that always kicks in just before a nasty headache  im not looking forward to this 
361	sadness	taylor swift and joe jonas looked really good together  im kinda sad they broke up 
362	worry	im suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts 
363	worry	lady across the way had a miscarriage say a prayer
364	sadness	god i just want to sleep 
365	anger	 ohhhh thunderstorms boo  why do they always have to make the power go out
366	worry	i feel so deflated  no more doggy 
368	anger	ratt rocked nashville tonite one thing sucked no encore  like in the 80s they still have a fun show  pearcy has that hott bad boy look
369	worry	is feeling bad  just got bad news about my mum
370	sadness	 but but i dun wanna
373	neutral	 thats what i was thinking but the only time its gonna be on is 1 am
374	neutral	peeps still here  fun times  gotta sleep tho  work in the a m  some cool hot chicks here  but none as cool as   missing her
375	worry	dont feel like working  i think i tweet this too often
378	neutral	counting the hours of lost sunshine until the weekend
379	surprise	  dude i just saw your sf pics  looks like your mini excursion was pretty kick ass didnt see any sun while i was there tho
380	fun	is home   safely  but hungry
381	sadness	 um i was thrown from s van yesterday and had to be taken to the er
382	worry	got to final table but went out third   dont think ill be getting my free seat
383	neutral	good morning work this morning gutted lol nevermind
385	fun	fb is boring   and i wanna sing right now  
389	worry	last day at work sick to the bone
390	worry	i feel like im on house arrest 
392	surprise	 ur supposed to be in bk tho
395	fun	 must  have  new music  i wont sleep until you give us chapter 1  i might die first though   hurry
399	sadness	 my computers broken and i broke my laptop so i had to use the phone  ahh still on he cause they fucked up my order 
400	neutral	 its good isnt it our holiday chalet is out of sight but look v similar to those ones  going home again today
401	worry	its a sad economy  just heard of another friend losing their job   so sad  but just a reminder that 
402	worry	 im just starting to feel really panicky and anxious that something bad has happened cos it seems like its been ages
405	worry	im back  top molar extracted  swollen face all numb   but no more toothache or sinus pain 
406	fun	just finished 8 hours of texas life insurance ce tonight 22 more hours to go
409	sadness	 what happen to the maids of yours quit once again  
410	sadness	im awake  anybody else awake wish i lived in the us since all the fun happens when im asleep
414	worry	 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
415	worry	 hmmm i thought u were sleeping too bad i cant see those videos until tomorrow night 
416	sadness	morning everyone sorry for going early last night had bad news felt totally crap   today is a new day
417	sadness	went to the beach and it started raining
419	fun	  yeah physically moving too  apparently well be reporting directly to mr  hayward 
420	neutral	 airport and you didnt show up tonight homo
421	worry	 jealous  it looks like schindlers list in toronto
424	fun	so i need to make a lot of money tomorrow
425	sadness	  being in your room makes me sad 
426	worry	nearly fell asleep but was jolted out of bed by a massive panic attack and now im not sure if i can sleep at all 
427	neutral	for the gays i only made 200 tonight
428	sadness	 oh fck i completely forgot about thirsty thursday oh  my  gaga  this sucks
429	sadness	if one people did any wrong the world blames all the people over there this is the great world which we are living in  shit
430	surprise	 nope   they are all sleeping cuz they live on the east coast 
431	neutral	 i bet its cool down in sr huh its not here  i havent stopped sweating since noon when dad and i were packing
433	worry	tactical mistake going to the city library and buying milk  who knew ouch ouch ouch  maybe a good thing i didnt try for uni 
434	neutral	decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots   age of the instant gratification 
437	worry	my stomach feels like its touching the ground im so full
438	love	pug just woke me from an incredible sleep
439	love	 i cant wait to hear your new album  im sure will be amazing please just replay to me  i love you so much
440	worry	sooo much work so little time
444	fun	 i know ridiculous we never got to hang out  i love chicago and want to go shopping  so a trip sounds like fun
446	worry	ugh my internet was down
447	surprise	omg i didnt tweet all that much today  sadness
448	worry	is feeling so giddy and wanna go home 
449	neutral	the week just wasnt the same without an adam lambert performance
451	worry	up and packing  its the last day of youth camp
454	worry	somebody please save the polar bears
456	surprise	 not really sleepy  bored is the right word   again not much work
459	sadness	went to the cd store to search for the cd  but
460	worry	 reminds me of the weather a month ago it was horrible  i hope all is well hugs
465	sadness	 i feel the same way every day
466	sadness	cant sleep  sucks  the one day i have to sleep in and i have to get up and go shopping with mom  ugh 
469	sadness	so have a headache right now and it sucks
470	worry	 hope ya sleepin well  guys still here
471	fun	i should be finished  but im not   color drawing here i come 
473	sadness	comfort food of the day pan mee  though it didnt taste any good 
474	worry	damn being drunk and hot sucks
476	worry	is not sleeping because he has paperwork to do 
478	worry	midnight cry  wish the person i wanted wanted me right now
479	neutral	 ima need you to follow me real quick cause i cant dm you
480	sadness	im poorly and cant sleep
481	worry	went to pole class  feeling discouraged  i am hopeless when it cones to dancing or sexy moves or spreading my legs 
483	worry	  if i told you how often i wash my hair you would never speak to me again
484	worry	looks like another sleepless night dedicated to homework  sorry in advance ms  chapman 
486	worry	didnt say goodnight to you
489	neutral	in the hongkong international airport  has to wait for 34 hours for our next flight to cebu 
490	neutral	cant sleep and nothings on tv
491	love	the pics i just uploaded are the baby pics of my cats  missy is now an adult and a pretty little kitty but batty is in kitten heaven now
493	sadness	today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and im definately not working this pm
495	sadness	is really really bored  i guess i will go to bed
496	worry	 i met a stranger just 10 min ago  he was stalking me at the store
498	sadness	sometimes the things you say hurt the ones you love most unintentionally   and you can never ever take it back or fix it 
501	sadness	having fever  dont feel to work
502	worry	taking horse pills hoping i can get some sleep tonight
504	sadness	missing  6 days cant pass quick enough
505	anger	 hey thats my school i hate that place 
506	sadness	working from home today my back is killing me  doctor and then physio after later today 
507	neutral	back to work  with no distractions 
508	fun	 demi just say hi to me and its enough  just replay to me please  love you so much
511	worry	looks like its going to be too nice to work today how annoying as i have no choice
512	neutral	 did you guys keep a set list i forgot to ask for one  xx
513	neutral	first impression of silverlight sadly based on what i saw today its quite problematic
517	neutral	the time you go to bed  i have to get up to go to work
518	fun	 big now vanessa is going to be 3 in september its going by so fast  its hard cuz im workin so much i miss out on alot
520	neutral	 lucky now i want to teleport
521	worry	somebody please save the polar bears
522	worry	my nose is runny my head is pounding and teeth hurt like a bitch  man   i feel awful   
523	sadness	i dont want her to leave 
524	fun	headin home refreshed my mind and soul justa lil bit bac to reality 
525	fun	good lord just seen the agency work for our upcoming open day  money for jam
526	sadness	wut do i do now
528	worry	at the grove for drag me to hell  i hope that it doesnt suck 
531	surprise	got home from work  945 and just finished cleaning  now i need to eat dinner and dont know what i want  ugh oh well  might not eat 
532	sadness	 i wish i was there
534	neutral	fc is finally up again  its about time  i hate that this keeps happening
535	neutral	seriously bored without anyone to talk to  but not tired enough for sleep
536	sadness	morning again i hate mornings  so offensive
537	neutral	 still give your computer a break omg
538	sadness	bed bed bed  do you never answer texts anymore  i thought of you the other day and sent one but never heard back  sad day
541	sadness	 lol wow dawg doesnt sound like youre playing  i feel bad now haha
544	fun	one week till exam block
545	neutral	 im not at home with my cats right now
546	worry	hoping i didnt fail english  that would just be sad
549	sadness	 im sorry about your bad driving experiences 
550	neutral	 i dont have any of that
554	surprise	 theres relisting fees when you dont complete a sale  that sucks
557	sadness	gutted that the bathroom still isnt free early work isnt going to happen    and i need the loo
559	worry	 awww i wish i could have been there  im stuck here about to jab out my eyes with knitting needles
560	surprise	 me too   wonder if mnet will show it 
561	neutral	wearing glasses gives me a headache 
562	fun	 stop talkin about food haha fill like sum nw  hha hows your day goin or starting
564	sadness	thank you   cant wait ummm btw ima crash still sick
565	sadness	first my work computer now my home laptop is fucked 
568	worry	 i know  we came back from 22 down in the 1st just to lose the lead in the last 6 minutes 
569	worry	gosh  summer vacation is almost over here at the philippines  kinda sad   i wonder what section will i be in
571	worry	im bummed that i cant wear my sweet nike kicks to work 
574	sadness	 its depressing im stuck inside all day
575	worry	 i even saw the news feeds of the archie website  but cant believe hed choose veronica  im disappointed
576	sadness	i hate being sick  i miss   and 
578	fun	getting ready for school  second maths test today  also its my last day of 3rd year next week i will officially be in 4th year
579	sadness	woke upi wanna stay in my bed
580	worry	depressed that i wasnt included in the morcom gardens quiz on facebook
584	worry	 oh come on you get next week off and i get next week full of exams
585	neutral	friday here at last not much fun when your skint though
588	fun	friday yay and a bonus dont have to drive to wales tonight   athough will miss kitten cuddles and going for a ride
592	surprise	i cant use my blackberry today  this sucks 
593	fun	q what studio created open season should google it or look at the dvd downstairs but feeling lazy
594	neutral	the times they are a changing
595	sadness	 why do you hate me
596	anger	time for tv in bed then spending all day catching up on studying  i hate online summer classes
597	neutral	 video is not available to us foreigners
599	worry	 pc i agree   we have a problem  we must stop spending and only work
602	neutral	waiting to get picked up
603	sadness	so exhausted cant sleep  i dont like these nights
606	surprise	if bill compton has wii why cant he have twitter
610	worry	cannot sleep  2 hours of tossing and turning 
611	worry	omg going to die of swine flu when i go to melbourne
612	anger	packing  i dont like it 
613	neutral	   dang it so its not certain    are you okay
614	neutral	wishes dave gilmour and roger waters would reunite for a pink floyd concert
615	sadness	finished a whole box of ice cream
616	neutral	in 1 horse town  2 blown out car speakers 
618	worry	 plus i just deposited tax return cheque but for first time in 7 years it didnt clear immediately
623	fun	 thanks for the rt and sorry about your new place with the domestics
624	fun	ok other then my shoe the club is cool  its fun and its poppin except 4 the ppl tryna dance wit me
625	worry	holy crap its raining in la and i dont have a jacket  oh no 
627	neutral	baby was not herself after recieving vaccines
628	worry	wish i could attend e3 this year  but these small events like the nba and stanley cup finals keep getting in the way    work work work 
629	fun	 lol hi emmy latin would help me study for the aptitude tests to get into grad school  thats why i wanna take it
630	sadness	 btw i am not a wimp
631	fun	 lol yeah yeah you big perv  was hoping to see you next week but scrapped plans
633	worry	 no i was trying to interview dr paul twomey ceo of icann  phone issues cut the interview from 30 mins to 15 
634	sadness	 i cant add you on myspace girly  it asks for a last name and email
635	anger	back at vienna    sooo tired luggage lost manchester d been great  very good outcome from seminar at mbs amp great people around  
636	worry	 dont think i can take a needle  watched a horribly gory short film on drugs a few months ago  im scarred for life 
637	sadness	i dont wanna go back to work   sleepy time 
640	neutral	 that sucks  how old are you actually
641	worry	thinking about getting up for work
644	worry	 thats better than missy 8 telling me i should be on the biggest loser
647	surprise	just saw a fox  as i was getting on the freeway  i hope it goes home
648	neutral	scratch that sleep on a stage bound 
649	surprise	recapping on britains got talent  britain seems more talented than america
651	love	good time rocking out  open mic thanks 4 all the love n support  now working on business plan presentation  no cg again 2nite
652	neutral	 swimming is a no go for me
653	sadness	 morning john yes i do however i have a diary clash and sadly cant attend
656	sadness	yea i just saw this really sad commercial
658	fun	  lettuce amp spinach does best in cool weather  i live in florida not much luck growing those 
662	worry	 my new lens isnt working  it worked for a bit and now gives an fee error
663	sadness	hates having to sleep alone
666	worry	back at school again  almost weekend  oh wait i gotta work from eight to four tonight
667	sadness	i loved johnny carson now im going to hate seeing jay leno go
668	sadness	even though everyone wanted to do a newish song and our teacher agreed s old grumpy doesnt like us happy  haha
670	worry	  i think i do it too much 
671	sadness	 ya  i was suffering the whole day yesterday  met dentist and feel a bit better  i still look like rocky balboa though
672	worry	 i didnt end up really eating  had more snacks  sigh
673	surprise	finally the internet is up  the server is down in phoenix and it was fucked up 
675	worry	   sorry guys i have to drop out of the trip  some personal commitments 
676	sadness	i didnt get a callback for the play i cried   oh well i guess its back to being a techie 
677	fun	 awesome wish i could fly out to see her
678	sadness	 i kinda wish i went with you now  i cant fall asleep
680	worry	at rocky cola diner in whittier tonight with teacher pal mr  b we had a great time chatting but no one else came 
681	neutral	off to bed still exhausted from vegas
683	worry	ummm sooo yeh its really hard to concentrate rite now wen i have this weird lupus feeling goin thro my body
685	neutral	took a 4 hour nap after work today and wont be able to sleep all night    this is a bummer
686	fun	 i know i enjoy watching you two on twitter  about as entertaining as the comic   that i miss
687	neutral	loving lil ken and absolutely dreading saying goodbye in less than a week
689	worry	all i want to do is sit back amp relax for a little while  how can that be this difficult
690	worry	 i thought i was your best friend
692	sadness	fall asleep on me again  but i know how it feels now lol  drag me to hell tonight quite excited
693	worry	god i cant even catch public transport  swine flu is shit house
694	worry	dad just said that our trip to uk is cancelled due to da swine flu  ooops sorry abang 
698	fun	someone take me to la  i need to see the lemon tree
701	surprise	math quiz if meow   but allergies    then meow  allergies  
703	worry	 youre so far away i dont know what to do 
705	fun	 whos the one always working now  oh yeah still me 
706	neutral	 unless that invite comes with a beta key im not going to be much help 
708	sadness	 im sorry andrew  i wish there was something i could do 
710	sadness	is anybody up   im sooo bored
712	fun	that was an interesting show to say the least  recap tomorrow  first i must sleep  work in am 
713	worry	 o its feels like a hot box and no matter where i go in here it still feels like a hot box ice cream isnt working n e more
714	worry	very sad  please get better grandma
718	surprise	 hey peter thanks for the follow  so many sydney pastors tweet shame no bris pastors are on twitter were behind 
719	neutral	  cant im not  my sister house no net tonite
720	neutral	damn hi facebook  whats wrong with you  cant add photos
722	neutral	4 more followers  follow me and ill love you pouts please
724	neutral	 i dont even have a wii b likes xbox so thats what we have  do you use it
725	sadness	i cant sleep this is so darn frustrating 
726	neutral	 i didnt get to see it tonight
727	fun	my bff rocking hotel california now  no  songs  done stay the same  whats next hmmm  careless whisper
728	sadness	 just one of those days where loneliness creeps up on you slaps you in the face 
730	worry	 well i dont have vacations so lets not go there
731	worry	i think im being ignored by my best friend jake a i hate being ignored  b we all know how things go with him
732	love	 love it by the way i didnt end up having time to go this week  im sooooo sorry next week for sure
736	neutral	fakin kisha just my luck
738	worry	is going home  ive seriously had enough
741	neutral	so tense so emotional so not me 
742	fun	  have fun i miss you guys a lot
743	worry	 that makes me sad for you
744	neutral	playing the game of watching straight people hook up but cant leave because of another reason
745	neutral	 yeah work today  never mind only one day then sun sun sun 
746	worry	feels like im going to cough up a lung
747	sadness	its funny  im kinda sad on my last day
748	neutral	 i dont think it was either  but i cant remember it 
749	neutral	anyone got jbs live chat vid i was  school  i saw joe hug and tackle nick lol
750	sadness	jenny fell asleep and didnt come over
751	worry	 why do we love those that we cannot have
752	sadness	wishes you had teased me with movie night
753	worry	i lost 4 followers over night nobody likes me
754	sadness	 ive missed one this year  its the forbidden fruit  of all the trees in the garden i munch in disappointment on that one 
755	worry	i want a new phone  ive seen too much cellphone commercials 
756	worry	  im soo sad  its just on the edges of the pages but its not gonna come out  cries
757	worry	this time i really need to shut it  im going to sleep my head aches badly and i really cant take it 
760	sadness	 i do  but im on a strict diet      ugh i feel like if i cheat for one day ill throw everything up 
761	worry	oh no hubs is so sick i hope i dont catch it
764	worry	ran out of money  i r a sad panda
765	neutral	and then you find out today they had there first kiss 
774	worry	i have a really bad head ache  gonna go to bed i might be back maybe not bye bye
775	worry	friends from travellers tales held a farewell party for me but i kinda disappointed them that i would still be here until sep  my fault 
776	anger	night 5 not talking to my victor  im so bored at night now  grrrr i hate this shit
777	fun	i am going to die tomorrow night    should be here 
779	anger	gonna get off to try and catch some zs no more high school after tomorrow which really sucks  i wish i didnt have to grow up
780	neutral	 morning hon  what you having for breakfast i cant decide
781	sadness	should be sleeping   lost my voice a couple day ago 
782	neutral	did i mention my bf bubbled the wsop employees event after 12 hrs with aa  working doubles  now for the next 6 weeks
783	sadness	i was too sleepy earlier and i didnt get to see matt
788	worry	 oh  well i hope she gets better
789	worry	 who are the crew please dont be me   i dont think it is but i could be wrong i have been a number of times 
790	sadness	how to have a glowing face my complexion is always so pale
793	fun	 youre cycling tho thats good  healthy eating  healthy and eating are a contradiction in terms 
794	anger	sooo im kinda o sick n tired of the bs that guys dish out  
795	love	 i hate you  fleetwood is my favorite band im so jealous  ok i still love you haha
796	surprise	so wish the carlton game was on live  stupid channel 7 lol 
797	worry	up early again tomorrow  heading to bed now  i keep saying im going to take a midday nap but it hasnt happened this week yet 
801	neutral	its 4pm friday he left at 6am thursday  surely he should be there now
802	worry	  im so sorry   ya gotta let me know ive been booked all week
804	worry	 i miss you  come to michigan like now i cant wait till july
805	neutral	  maybe a good nights sleep for everyone
808	neutral	 yea its tough to keep it going  sometimes im not sure its worth it 
